bathrooms,bedrooms,condition,floors,grade,price,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront,yr_built,yr_renovated_bool,zipcode
1.0,3,4,1.5,8,535000.0,1090,0,1090,1570,3000,5080,0,0,1929,0,98117
2.75,4,3,1.0,7,322500.0,1280,780,2060,2020,6659,8720,0,0,1981,0,98058
2.5,3,3,1.5,8,696000.0,1510,790,2300,1590,3060,3264,0,0,1930,1,98115
1.0,4,1,1.0,5,550000.0,930,730,1660,2160,34848,11467,0,0,1933,0,98052
2.0,4,4,2.0,8,640000.0,2360,0,2360,1730,6000,4700,0,0,1904,0,98107
1.0,4,2,1.0,7,240000.0,890,330,1220,1290,8075,7800,0,0,1969,0,98001
2.5,4,3,2.0,8,605000.0,2620,0,2620,2620,7553,11884,0,0,1996,0,98056
2.5,4,3,2.0,9,625000.0,2570,0,2570,2470,5520,5669,0,0,2000,0,98074
2.25,4,3,1.0,8,775000.0,2600,1620,4220,2410,24186,30617,0,0,1984,0,98166
2.75,5,3,2.0,9,861990.0,3595,0,3595,3625,5639,5639,0,0,2014,0,98053
1.0,3,3,2.0,7,685000.0,1570,0,1570,1580,2280,2640,0,0,1922,0,98119
1.0,3,4,1.0,6,309000.0,920,360,1280,1340,9656,8808,0,0,1959,0,98058
2.5,3,3,2.0,8,488000.0,3160,0,3160,3050,13603,9232,0,0,2003,0,98019
1.0,3,3,1.0,6,210490.0,990,0,990,1228,8528,8840,0,0,1966,0,98023
2.5,4,4,2.0,9,785000.0,2290,0,2290,2680,13416,13685,0,0,1981,0,98007
1.75,3,4,1.0,7,450000.0,1250,0,1250,970,5963,5100,0,0,1953,0,98115
2.5,3,5,1.0,9,1350000.0,2165,588,2753,2680,65005,72513,2,1,1953,0,98070
1.0,3,3,1.0,7,228000.0,1190,0,1190,1190,9199,9364,0,0,1955,0,98148
2.5,5,4,1.0,8,345000.0,1640,1510,3150,1990,9134,9133,0,0,1966,0,98056
1.75,3,4,1.0,7,600000.0,1000,410,1410,1410,4080,4080,0,0,1950,0,98117
1.75,2,3,1.0,7,585000.0,990,990,1980,1480,8550,6738,0,0,1981,0,98117
2.25,5,3,1.5,8,920000.0,2130,600,2730,2730,6000,6000,0,0,1927,0,98105
2.5,4,3,2.0,9,885000.0,2830,0,2830,1950,5000,5000,0,0,1995,0,98105
2.5,4,3,2.0,7,292500.0,2250,0,2250,2250,4495,4500,0,0,2008,0,98042
2.5,3,3,2.0,8,301000.0,2420,0,2420,2690,4750,4750,0,0,2003,0,98042
3.25,5,4,2.0,8,951000.0,3250,0,3250,2960,14342,11044,4,0,1968,0,98008
3.0,4,3,2.0,8,430000.0,1850,0,1850,2270,9976,8542,0,0,1991,0,98059
2.25,3,4,1.0,8,650000.0,1590,560,2150,2570,21235,18900,3,0,1959,0,98166
1.75,3,3,1.0,7,289000.0,1260,0,1260,1290,8400,8750,0,0,1954,0,98148
1.75,3,5,2.0,8,505000.0,2519,0,2519,2500,8690,9500,0,0,1973,0,98166
1.75,3,3,3.0,8,549000.0,1540,0,1540,1580,1044,3090,0,0,2014,0,98115
2.25,3,3,1.0,7,425000.0,1110,550,1660,1440,6000,4080,0,0,1979,0,98122
2.75,3,5,1.5,7,317625.0,1770,1000,2770,1440,3809,4000,0,0,1925,0,98144
2.5,4,3,2.0,10,975000.0,2720,0,2720,2750,11049,11049,0,0,1989,0,98004
2.5,4,3,2.0,7,287000.0,2240,0,2240,2221,4648,4557,0,0,2005,0,98001
1.0,3,4,1.0,7,204000.0,1000,0,1000,1010,12070,12635,0,0,1968,0,98042
2.25,5,3,1.0,8,1325000.0,1600,1600,3200,3390,20158,20158,0,0,1965,0,98004
3.25,5,4,1.0,11,1040000.0,3070,1700,4770,3530,50094,38917,0,0,1973,0,98005
2.0,3,4,1.0,7,325000.0,1260,0,1260,1640,5612,4745,0,0,1972,0,98034
2.0,4,5,1.5,7,571000.0,2250,500,2750,1510,7807,7807,0,0,1916,0,98125
2.5,4,3,2.0,8,360000.0,2380,0,2380,2420,5000,5000,0,0,2005,0,98038
1.75,3,5,1.0,7,349000.0,1090,700,1790,1940,50529,50529,0,0,1965,0,98042
4.0,4,4,2.0,10,832500.0,2390,1040,3430,3240,35102,35020,0,0,1986,0,98075
1.75,4,3,1.0,7,380000.0,880,880,1760,1680,7300,7500,0,0,1956,0,98008
1.0,3,3,1.0,7,480000.0,1040,0,1040,890,5060,5060,0,0,1941,0,98116
1.0,3,4,1.0,7,410000.0,910,500,1410,1130,5060,5693,0,0,1956,0,98133
2.5,4,3,2.0,10,720000.0,3450,0,3450,3350,39683,39750,0,0,2002,0,98010
2.5,3,3,2.0,8,390000.0,2350,0,2350,2350,5100,5363,0,0,2003,0,98038
2.5,4,3,2.0,7,360000.0,1900,0,1900,1870,5889,6405,0,0,1992,0,98038
1.0,2,3,1.0,7,355000.0,1010,1010,2020,1720,6720,6720,0,0,1948,0,98118
1.5,3,3,1.0,8,356000.0,1680,0,1680,1850,8712,8797,0,0,1964,0,98059
1.0,3,3,1.0,6,315000.0,960,0,960,1570,6634,7203,0,0,1952,0,98125
1.5,3,3,2.0,9,940000.0,1900,240,2140,2020,3600,4800,0,0,1925,0,98119
2.25,5,5,1.5,7,305000.0,2660,0,2660,1590,8400,8165,0,0,1961,0,98092
3.25,3,3,2.0,9,461000.0,1980,790,2770,1900,6278,7349,0,0,2006,0,98056
2.25,2,4,2.0,7,215000.0,1610,0,1610,1950,2040,2025,0,0,1979,0,98056
1.75,2,3,2.0,7,335000.0,765,265,1030,1030,1066,1106,0,0,2006,0,98136
2.5,4,3,2.0,7,243500.0,1980,0,1980,1980,7403,7510,0,0,1988,0,98023
2.75,5,4,2.0,10,1099880.0,3520,0,3520,2520,6353,6250,0,0,2001,0,98199
1.0,3,3,1.0,7,153000.0,1200,0,1200,1350,10500,10500,0,0,1962,0,98023
1.5,3,3,1.0,8,430000.0,1290,290,1580,1570,5000,4500,0,0,1939,0,98117
1.5,3,3,1.0,8,700000.0,1290,290,1580,1570,5000,4500,0,0,1939,0,98117
2.5,4,3,1.0,7,905000.0,2390,910,3300,1950,10250,6045,0,0,1946,1,98040
1.75,3,3,1.0,7,247500.0,1960,0,1960,1750,15681,15616,0,0,1967,0,98032
1.5,4,4,1.0,7,199000.0,1160,0,1160,1160,6400,6400,0,0,1975,0,98023
1.75,3,5,1.0,7,314000.0,1210,600,1810,1650,41800,135036,0,0,1980,0,98038
2.5,3,3,2.0,9,437500.0,2320,0,2320,2550,36847,35065,2,0,1992,0,98045
2.5,3,5,1.5,9,850830.0,1270,800,2070,2200,13241,4500,0,0,1910,0,98102
2.0,3,4,1.5,7,555000.0,1440,540,1980,1610,3478,3478,0,0,1929,0,98117
2.25,3,4,2.0,8,699950.0,2190,0,2190,2570,107593,47777,0,0,1983,0,98077
2.5,3,3,2.0,8,1088000.0,2920,0,2920,2370,8113,8113,0,0,1950,1,98004
1.0,3,3,1.0,7,290000.0,1210,0,1210,1640,33919,14910,0,0,1954,0,98058
2.5,3,4,1.0,8,375000.0,1460,880,2340,2250,10005,8162,0,0,1978,0,98058
1.0,3,4,1.5,7,460000.0,1170,500,1670,1240,4005,4005,0,0,1939,0,98117
1.75,2,4,1.0,8,188500.0,1240,0,1240,1270,2493,4966,0,0,1985,0,98198
2.5,4,4,2.0,10,680000.0,3140,0,3140,2990,28037,35001,0,0,1991,0,98077
1.75,5,4,2.0,7,470000.0,2030,0,2030,2500,12342,9433,0,0,1942,0,98052
2.5,4,3,2.0,8,597750.0,2310,0,2310,1940,9624,9636,0,0,1984,0,98027
1.75,3,5,1.0,6,570000.0,700,560,1260,1380,3328,3536,0,0,1905,0,98103
1.75,3,4,1.0,7,272500.0,1160,380,1540,1540,12600,11656,0,0,1980,0,98038
1.75,3,3,1.0,7,329950.0,1080,1000,2080,2090,5969,5500,2,0,1971,0,98108
2.5,4,3,2.0,9,480000.0,2520,710,3230,2640,16171,8517,3,0,2001,0,98001
3.5,3,3,2.0,8,740500.0,2780,1600,4380,1830,6350,6350,0,0,1900,1,98117
3.5,3,3,3.0,8,518500.0,1590,0,1590,1620,1102,3166,0,0,2010,0,98103
1.0,2,4,1.0,6,205425.0,880,0,880,1190,6780,6780,0,0,1945,0,98178
2.0,4,3,1.0,6,171800.0,1570,0,1570,1880,9600,9000,0,0,1950,0,98168
1.0,4,4,1.5,7,535000.0,1610,0,1610,1610,2982,4040,0,0,1925,0,98144
2.5,3,3,1.0,8,660000.0,1560,840,2400,2340,6474,10856,2,0,1964,0,98177
2.0,3,3,1.0,7,391500.0,1450,0,1450,1580,9132,9104,0,0,1987,0,98034
1.0,2,3,1.0,6,395000.0,770,0,770,1710,6000,6000,0,0,1953,0,98117
1.75,4,5,1.5,7,445000.0,1720,380,2100,1850,4400,4400,0,0,1924,0,98118
2.25,3,3,2.0,9,770000.0,2910,0,2910,2700,10204,13992,0,0,1990,0,98052
2.75,4,3,1.5,8,1450000.0,1980,770,2750,3060,17789,11275,0,0,1914,1,98004
2.25,3,3,1.0,8,445000.0,1620,480,2100,2660,8201,8712,2,0,1967,0,98178
2.25,4,3,1.0,8,260000.0,1360,800,2160,2090,8811,8400,0,0,1978,0,98023
3.5,5,5,2.0,7,822500.0,1720,600,2320,1700,4960,4960,0,0,1926,0,98103
2.5,4,3,2.0,7,430000.0,2070,0,2070,1970,4310,3748,0,0,2004,0,98065
1.75,3,4,1.0,7,212000.0,1060,0,1060,1420,7875,7680,0,0,1986,0,98092
2.25,4,3,1.0,8,660500.0,1440,570,2010,2060,9603,9793,0,0,1986,0,98027
3.5,3,3,1.5,9,784000.0,2460,1490,3950,2480,111078,88500,0,0,1989,0,98052
2.5,3,3,2.0,8,453246.0,1390,620,2010,1690,2287,1662,0,0,2014,0,98029
3.5,4,3,3.0,9,675000.0,2140,0,2140,1540,2278,2285,0,0,2005,0,98107
1.75,3,4,1.0,7,199000.0,1320,0,1320,1550,17390,19265,0,0,1956,0,98003
1.75,4,3,1.0,7,220000.0,1010,1010,2020,1750,7840,8140,0,0,1968,0,98003
2.25,4,4,1.0,8,452000.0,1340,1250,2590,1550,10002,10436,0,0,1968,0,98028
1.0,2,3,1.0,6,382500.0,1190,0,1190,1060,4440,5715,0,0,1981,0,98125
2.25,3,3,3.0,8,519950.0,1170,0,1170,1350,1249,1310,0,0,2014,0,98107
1.0,2,3,1.0,7,665000.0,1110,0,1110,1170,3200,3600,0,0,1925,0,98119
2.5,5,4,1.0,8,527700.0,1550,1270,2820,2820,9375,9375,0,0,1968,0,98006
1.0,3,4,1.0,7,205000.0,1010,600,1610,1610,8579,8579,0,0,1962,0,98058
1.0,3,4,1.0,7,420000.0,940,120,1060,1560,8097,7940,0,0,1923,0,98133
2.25,4,4,1.0,8,500000.0,1380,650,2030,2230,8517,8824,0,0,1961,0,98006
2.5,4,4,2.0,9,921500.0,3670,0,3670,2840,315374,87991,0,0,1994,0,98077
1.0,4,3,2.0,8,890000.0,2370,180,2550,2200,4000,4000,0,0,1905,0,98109
2.5,2,3,2.0,7,430000.0,2420,0,2420,1940,60984,193842,0,0,2007,0,98027
2.0,5,4,1.0,8,258000.0,1130,1130,2260,1360,12500,18000,0,0,1960,0,98032
1.0,3,3,1.0,7,511000.0,980,450,1430,1450,3455,4599,0,0,1947,0,98103
2.0,3,3,2.0,8,532170.0,1360,0,1360,1500,3090,3090,0,0,1990,0,98103
1.0,3,3,1.5,7,560000.0,1110,0,1110,1420,5000,5000,0,0,1947,0,98107
1.0,3,4,1.0,7,282950.0,1250,0,1250,1680,8200,8633,0,0,1954,0,98003
3.25,4,3,2.0,12,2250000.0,3540,1640,5180,3160,19850,9750,3,0,2006,0,98006
1.0,1,3,1.0,7,350000.0,700,0,700,1010,5100,5100,0,0,1942,0,98115
1.0,3,4,1.0,7,215000.0,1180,0,1180,1190,7669,7669,0,0,1967,0,98058
3.5,5,3,2.0,9,650000.0,2500,1460,3960,2640,25245,13675,0,0,1996,0,98056
2.75,4,3,1.0,8,320000.0,1620,1020,2640,1980,7500,7875,0,0,1967,0,98023
2.0,3,3,1.5,7,247000.0,1270,0,1270,1160,7198,7198,0,0,1916,1,98022
1.75,4,4,1.0,8,320000.0,1760,0,1760,1730,11180,11180,0,0,1968,0,98059
2.25,5,3,1.0,7,255000.0,1030,1030,2060,1010,8632,11680,0,0,1962,0,98146
1.75,3,3,1.0,7,438000.0,1780,0,1780,1200,9660,9660,0,0,1962,0,98034
2.5,3,3,2.0,10,900000.0,3400,0,3400,3400,16603,12601,0,0,2000,0,98075
2.75,3,3,1.0,7,441000.0,1160,750,1910,1710,7280,8152,0,0,1979,0,98034
2.0,3,4,1.0,7,420000.0,1010,1010,2020,2110,38332,36590,0,0,1975,0,98027
1.75,3,3,1.0,7,370000.0,1180,400,1580,1640,7000,7500,0,0,1976,0,98034
1.75,2,5,1.0,5,269950.0,700,640,1340,1830,7250,9750,0,0,1949,0,98198
2.5,4,3,2.0,9,807100.0,2680,0,2680,2920,4499,4500,0,0,1999,0,98006
2.5,3,4,1.0,8,653000.0,1610,1070,2680,2480,9750,8750,0,0,1979,0,98034
2.0,3,5,1.0,7,371500.0,1370,0,1370,1770,8336,7288,0,0,1964,0,98133
1.75,3,3,1.0,7,284000.0,1560,0,1560,1070,21000,7920,0,0,1954,0,98166
1.75,3,4,1.0,7,272000.0,1670,490,2160,1930,7140,7350,0,0,1978,0,98023
1.5,3,3,1.5,7,313000.0,1340,0,1340,1480,7912,7940,0,0,1955,0,98133
2.5,4,3,2.0,10,917500.0,2570,1310,3880,3740,35003,35230,0,0,1984,0,98033
2.25,4,4,2.0,8,673000.0,2590,0,2590,2260,8190,8335,0,0,1980,0,98006
2.5,3,3,2.0,8,425000.0,820,300,1120,1590,1100,1795,0,0,2008,0,98122
2.75,5,3,1.0,7,399950.0,1320,650,1970,1280,5400,2150,0,0,1986,0,98144
1.0,3,3,1.0,6,385000.0,1220,0,1220,1200,4800,4800,0,0,1901,0,98122
1.5,3,4,1.0,7,269950.0,1320,630,1950,1950,7560,8941,2,0,1975,0,98022
1.0,2,3,1.0,7,330000.0,1060,290,1350,1540,8220,8280,0,0,1949,0,98177
2.5,3,3,2.0,7,260000.0,1670,0,1670,1670,5797,6183,0,0,1988,0,98030
3.0,4,4,1.5,7,470000.0,1680,700,2380,1410,5125,5375,0,0,1925,0,98126
3.0,4,5,2.0,7,589000.0,2440,0,2440,2290,9600,9600,0,0,1961,0,98034
1.5,2,3,2.0,7,163500.0,1050,0,1050,1050,3419,3417,0,0,1996,0,98038
2.75,4,3,2.0,9,835000.0,2140,990,3130,2260,13412,9984,0,0,1993,0,98052
3.0,5,4,1.0,10,1095000.0,2090,2000,4090,2540,12850,10270,2,0,1986,0,98033
1.75,4,4,1.0,8,269000.0,1100,390,1490,2190,10000,8910,0,0,1969,0,98023
2.5,3,3,2.0,8,560000.0,1900,0,1900,2030,8744,8744,0,0,1987,0,98074
1.0,4,4,1.5,6,615000.0,1330,0,1330,1330,2400,4400,0,0,1901,0,98103
2.25,3,3,1.0,8,585188.0,1430,800,2230,2230,10026,9340,0,0,1975,0,98052
1.75,3,3,1.0,7,305000.0,1220,430,1650,1540,9480,8400,0,0,1977,0,98034
1.0,3,3,1.0,6,166950.0,1190,0,1190,1230,8820,7980,0,0,1959,0,98058
2.5,3,4,1.0,8,799000.0,2140,0,2140,2680,9897,10083,0,0,1959,0,98040
2.5,3,4,1.0,7,400000.0,1420,760,2180,1900,7508,7818,0,0,1962,0,98133
1.0,3,3,1.0,7,230000.0,1060,0,1060,1570,10228,10228,0,0,1948,0,98155
2.5,3,3,2.0,8,256883.0,1690,0,1690,2550,5025,5001,0,0,2003,0,98023
2.0,4,5,1.5,7,423000.0,1130,840,1970,1500,6480,6480,0,0,1920,0,98108
2.5,3,3,2.0,8,465000.0,2150,0,2150,1750,4084,2385,0,0,2007,0,98126
2.5,3,3,2.0,7,440000.0,1910,0,1910,2330,66211,67268,0,0,1997,0,98024
1.75,3,4,1.0,7,385000.0,1350,0,1350,1560,155073,50965,0,0,1969,0,98038
1.0,3,4,1.0,6,210000.0,860,0,860,1300,11725,9514,0,0,1943,0,98056
2.5,3,3,2.0,8,297000.0,1940,0,1940,2030,14952,10450,0,0,1994,0,98042
1.0,3,3,1.0,7,470000.0,1010,0,1010,1680,5000,5000,0,0,1952,0,98107
1.5,3,4,1.0,7,226500.0,900,400,1300,1430,7370,7500,0,0,1976,0,98023
1.0,3,4,1.0,6,274250.0,910,0,910,1400,8450,8040,0,0,1962,0,98059
1.75,4,4,1.0,9,840000.0,1630,850,2480,2770,11010,10744,0,0,1966,0,98040
2.5,3,3,2.0,8,677900.0,2440,0,2440,2750,4587,4587,0,0,2010,0,98052
1.0,3,3,1.0,7,425000.0,1010,0,1010,1290,5864,5000,0,0,1915,0,98116
0.75,2,3,1.0,6,180250.0,900,0,900,1250,9600,14280,0,0,1941,0,98166
3.0,6,3,2.0,7,464000.0,1600,700,2300,1560,3404,1312,0,0,1920,1,98133
2.25,4,3,2.0,8,320000.0,1550,0,1550,1630,7579,6397,0,0,1993,0,98038
2.25,3,3,2.0,8,625504.0,1060,210,1270,1160,1566,1327,0,0,2014,0,98105
2.5,4,3,1.0,9,592500.0,2240,0,2240,2520,12032,12368,0,0,1983,0,98074
2.5,3,3,2.0,9,465000.0,2714,0,2714,2590,17936,18386,0,0,2005,0,98001
2.75,4,3,2.0,8,477000.0,1720,0,1720,2130,6270,8700,0,0,1978,0,98118
1.0,2,3,1.0,6,280000.0,850,0,850,1100,16400,14459,0,0,1923,0,98168
3.0,5,3,1.0,9,1505000.0,1870,1430,3300,3836,33474,20953,3,0,1957,1,98040
2.5,3,3,2.0,8,445838.0,2250,0,2250,1320,5692,5390,0,0,2000,0,98146
2.25,2,3,1.0,8,1072000.0,1950,1950,3900,2580,14864,5184,3,0,1947,0,98144
1.5,2,4,1.0,8,467000.0,1320,0,1320,2120,10800,12040,0,0,1947,0,98177
2.5,4,3,2.0,10,686000.0,2760,0,2760,3070,6440,8127,0,0,1999,0,98075
2.0,3,3,1.0,7,279950.0,1350,400,1750,1900,9750,10125,0,0,1961,0,98198
2.25,4,3,2.0,8,527000.0,2330,0,2330,1910,19436,10055,0,0,1987,0,98011
2.25,3,4,1.0,8,325000.0,1780,440,2220,2080,16020,9583,0,0,1966,0,98030
2.25,3,3,2.0,7,328000.0,2020,0,2020,2020,8379,8031,0,0,1994,0,98038
2.25,3,5,1.0,7,390000.0,1250,0,1250,1280,7500,7392,0,0,1942,0,98146
2.0,2,3,1.0,8,479950.0,1510,0,1510,1640,6516,6009,0,0,2005,0,98053
2.25,4,4,1.0,7,264950.0,1120,600,1720,1510,9753,9753,0,0,1978,0,98023
1.0,3,4,1.0,7,235000.0,980,450,1430,1960,15246,13068,0,0,1961,0,98031
2.5,3,3,2.0,7,516500.0,1480,0,1480,2250,4729,4729,0,0,2004,0,98053
1.75,2,3,2.0,7,655000.0,1230,220,1450,2030,15798,13193,4,1,1915,1,98166
2.75,4,5,1.0,7,500000.0,2280,0,2280,2280,15347,15347,0,0,1960,0,98059
2.75,6,3,1.0,8,315000.0,1780,1160,2940,2120,7350,8236,0,0,1978,0,98023
1.0,2,3,1.0,6,213000.0,1000,0,1000,1150,10200,13702,0,0,1961,0,98024
1.5,3,5,1.5,7,475000.0,1620,860,2480,2090,5280,4800,0,0,1947,0,98108
4.0,5,3,2.0,10,1025000.0,3760,0,3760,3430,28040,35096,0,0,1983,0,98033
2.0,3,5,1.0,7,416000.0,1640,580,2220,2070,94300,80100,0,0,1976,0,98010
1.0,4,3,1.5,7,410000.0,1670,300,1970,1510,4740,4740,0,0,1904,1,98122
3.5,3,3,2.0,10,800000.0,3530,300,3830,2920,221284,148539,0,0,1993,0,98077
2.5,6,4,1.0,9,472000.0,2350,2060,4410,2600,14034,13988,2,0,1965,0,98003
1.75,3,4,1.0,7,225000.0,1430,0,1430,1190,8505,8640,0,0,1968,0,98003
1.0,2,3,1.0,6,210000.0,830,0,830,830,6000,4960,0,0,1940,0,98126
1.0,2,2,1.5,7,455000.0,1430,0,1430,1450,5000,3750,0,0,1925,0,98115
1.0,3,4,1.0,6,225000.0,1300,0,1300,1260,8316,8316,0,0,1954,0,98002
1.0,2,4,1.0,7,480000.0,790,240,1030,1390,3060,3060,2,0,1918,0,98103
2.5,3,3,2.0,9,363000.0,2740,0,2740,2570,11872,10377,0,0,1990,0,98023
2.5,4,3,1.0,9,2400000.0,1830,1820,3650,3120,8354,18841,4,1,2000,0,98074
1.5,2,3,1.0,6,181000.0,720,0,720,1150,5120,2566,0,0,1954,0,98106
2.0,4,4,1.0,7,250000.0,2010,0,2010,2010,7312,7650,0,0,1976,0,98002
1.75,3,4,1.0,6,481000.0,770,790,1560,1390,3000,3000,0,0,1918,0,98103
2.0,3,4,1.0,7,260000.0,1240,570,1810,1750,7209,7209,0,0,1978,0,98032
2.5,4,3,2.0,9,455000.0,3360,0,3360,3060,7685,6567,0,0,2001,0,98058
2.25,3,3,2.0,8,415000.0,1510,0,1510,1730,36224,36224,0,0,1991,0,98045
1.0,3,3,1.0,7,349500.0,800,600,1400,1620,3538,6331,0,0,1953,0,98118
2.5,3,3,2.0,7,245000.0,1730,0,1730,1630,7442,6458,0,0,1987,0,98030
2.0,2,5,1.5,7,592500.0,1420,0,1420,1420,9191,6816,2,0,1928,0,98115
1.75,4,4,1.0,7,385000.0,1180,1180,2360,1910,7620,7620,0,0,1955,0,98106
1.75,3,4,1.0,7,315000.0,1200,380,1580,1550,11455,10650,0,0,1974,0,98059
1.0,3,3,1.0,7,255000.0,1230,0,1230,1380,10170,10098,0,0,1979,0,98045
2.5,4,3,2.0,8,693000.0,2460,0,2460,2990,4425,5659,0,0,2006,0,98052
1.0,3,3,1.5,8,780000.0,1460,200,1660,1660,4400,4400,0,0,1911,0,98112
1.75,3,4,1.0,7,237000.0,1270,0,1270,1600,8470,8470,0,0,1960,0,98198
2.25,3,3,2.0,10,525000.0,1320,780,2100,2380,40510,33450,0,0,1979,0,98074
1.0,2,3,1.0,5,425000.0,770,0,770,1330,5040,2580,0,0,1930,0,98144
0.75,1,5,1.0,5,369900.0,760,0,760,1230,10079,14267,4,1,1936,0,98070
2.5,4,4,2.0,7,290000.0,1700,0,1700,1950,7280,7475,0,0,1988,0,98031
1.0,3,3,1.0,7,285000.0,1120,0,1120,1130,10701,6350,0,0,1954,0,98106
1.0,2,3,1.0,7,415000.0,1070,0,1070,1320,4500,4465,0,0,1937,0,98115
2.5,3,3,1.0,8,272500.0,1420,650,2070,2070,9900,8250,0,0,1979,0,98023
3.25,4,3,1.5,11,2900000.0,4750,300,5050,3890,20100,20060,2,0,1982,1,98004
4.75,4,4,2.0,11,1365000.0,5310,0,5310,4180,57346,47443,0,0,1989,0,98077
1.0,2,4,1.0,7,436000.0,1040,0,1040,1440,7538,7530,0,0,1939,0,98133
1.0,3,4,1.0,7,210000.0,1700,0,1700,1350,11390,8164,0,0,1967,0,98003
1.0,3,3,1.0,7,236000.0,1300,0,1300,1320,5898,7619,0,0,1961,0,98178
1.75,3,3,1.0,7,331000.0,580,500,1080,1440,1306,2225,0,0,1954,1,98199
2.5,3,3,2.0,8,365000.0,2653,0,2653,2653,4510,4927,0,0,2006,0,98031
2.0,3,5,1.0,8,450000.0,2290,0,2290,1660,16258,10530,0,0,1960,0,98058
2.75,4,3,2.0,9,770000.0,2850,970,3820,1860,26300,12136,0,0,2014,0,98028
2.5,4,3,1.0,8,455000.0,2210,0,2210,2670,49375,49385,0,0,1997,0,98038
1.75,3,3,1.0,6,405000.0,1240,1150,2390,2020,6000,6000,0,0,1908,0,98118
1.75,4,4,1.0,7,304900.0,1610,990,2600,1720,11325,11088,0,0,1969,0,98031
1.0,2,3,1.0,6,170000.0,860,0,860,1650,5265,8775,0,0,1931,0,98178
3.0,5,5,2.0,9,2050000.0,2630,1200,3830,3050,8480,7556,1,0,1905,1,98122
2.5,4,3,2.0,9,780000.0,3500,0,3500,3920,7048,7864,0,0,2005,0,98053
3.0,3,4,1.0,8,330000.0,1740,680,2420,2570,13959,13300,0,0,1988,0,98028
2.5,4,3,2.0,9,370000.0,2720,0,2720,2410,8666,8100,0,0,1992,0,98030
2.25,5,3,1.0,7,467000.0,1850,650,2500,2300,13500,9750,0,0,1979,0,98072
