bathrooms,bedrooms,condition,floors,grade,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront,yr_built,yr_renovated,yr_renovated_bool,zipcode,price,zipcode_price
2.5,4,3,2.0,8,2570,0,2570,2430,11473,5997,0,0,2008,0,0,98003,356500.0,9
1.75,3,4,1.0,8,1640,0,1640,2630,10464,18872,2,0,1968,0,0,98004,1155000.0,9
2.5,4,3,2.0,9,2980,0,2980,2730,16263,10018,0,0,1989,0,0,98006,1012000.0,9
2.25,4,5,1.0,9,1650,1150,2800,2800,18673,15300,0,0,1965,0,0,98005,940000.0,9
2.5,3,3,2.0,10,3060,0,3060,3060,9576,9579,0,0,2005,0,0,98004,1266520.0,9
2.5,3,3,2.0,7,1740,0,1740,1300,10050,10125,0,0,1989,0,0,98001,225000.0,9
2.25,4,3,2.0,7,1500,0,1500,1700,5393,5917,0,0,1999,0,0,98001,210000.0,9
2.75,4,3,2.0,9,3900,380,4280,3590,12668,12670,0,0,1947,2008,1,98004,1900000.0,9
2.5,4,4,1.0,8,1430,760,2190,2580,11500,9700,0,0,1972,0,0,98006,699900.0,9
1.75,3,5,1.0,7,1600,0,1600,1580,9135,9800,0,0,1955,0,0,98006,625000.0,9
3.5,4,3,2.0,10,3360,1320,4680,2800,9700,12343,0,0,2005,0,0,98006,1160000.0,9
2.75,4,5,1.0,8,1310,1000,2310,2820,10232,9886,0,0,1980,0,0,98006,750000.0,9
2.25,3,4,1.0,7,1580,0,1580,2270,11680,10948,0,0,1958,0,0,98005,549800.0,9
2.5,4,4,1.0,9,2420,0,2420,3330,18480,19910,0,0,1967,0,0,98004,1490000.0,9
3.5,4,4,2.0,11,3700,0,3700,3880,13175,15508,0,0,1989,0,0,98006,1288000.0,9
2.5,4,4,2.0,7,2068,0,2068,1560,7242,7524,0,0,1976,0,0,98001,276000.0,9
3.5,5,3,2.0,10,4770,1190,5960,2810,13703,17320,2,0,1984,0,0,98008,1355000.0,9
2.5,4,3,2.0,10,3330,0,3330,3360,9557,9755,0,0,1995,0,0,98006,905000.0,9
1.75,5,4,1.0,7,1250,0,1250,1560,10530,8190,0,0,1966,0,0,98007,462000.0,9
1.0,3,4,1.0,6,970,0,970,970,7742,7650,0,0,1967,0,0,98003,219900.0,9
1.0,3,3,1.0,7,1430,300,1730,1820,7210,7210,0,0,1963,0,0,98001,210000.0,9
1.75,4,4,1.0,9,1630,820,2450,3150,13300,15500,2,0,1987,0,0,98006,760000.0,9
1.0,3,4,1.0,7,1350,0,1350,1450,10000,10000,0,0,1954,0,0,98006,450000.0,9
1.0,3,3,1.0,6,940,0,940,1180,7811,7490,0,0,1959,0,0,98008,350000.0,9
1.5,3,4,1.0,7,1240,0,1240,1240,11200,11008,0,0,1954,0,0,98006,345000.0,9
2.0,4,4,1.0,7,1570,0,1570,1530,7320,8800,0,0,1960,0,0,98007,450000.0,9
1.5,3,4,2.0,6,1280,0,1280,1150,5547,4500,0,0,1985,0,0,98002,167000.0,9
1.75,3,4,1.0,7,1140,350,1490,2310,9800,9800,0,0,1947,0,0,98004,745000.0,9
2.25,5,3,1.0,9,2510,0,2510,3160,35691,35037,0,0,1967,0,0,98005,900000.0,9
2.25,4,3,1.0,8,1830,1720,3550,2770,13900,12200,0,0,2010,0,0,98006,859000.0,9
1.75,3,4,1.0,7,1430,0,1430,1570,8400,7800,0,0,1961,0,0,98008,440000.0,9
2.5,3,5,1.0,11,2600,1410,4010,4010,12105,15081,3,0,1983,0,0,98006,1511250.0,9
3.5,4,3,2.0,10,4010,0,4010,1870,9654,9873,0,0,2007,0,0,98004,1735000.0,9
1.75,3,4,1.0,7,1680,0,1680,1690,9460,9448,0,0,1959,0,0,98006,466000.0,9
1.0,4,5,1.0,6,1320,0,1320,1060,11212,6766,0,0,1914,0,0,98002,250000.0,9
2.25,5,4,2.0,9,2780,0,2780,2740,10192,9900,0,0,1978,0,0,98007,830000.0,9
6.25,5,3,2.0,11,8020,0,8020,4160,21738,18969,0,0,2001,0,0,98006,3300000.0,9
1.75,4,4,1.0,7,1640,880,2520,2110,8442,8442,0,0,1953,0,0,98004,770000.0,9
1.75,3,3,1.0,7,1380,0,1380,1380,8362,8800,0,0,1967,0,0,98003,235000.0,9
2.75,5,4,2.0,8,1720,860,2580,2240,9242,9316,2,0,1967,0,0,98007,713000.0,9
1.0,2,3,1.0,6,930,0,930,2800,36478,11141,2,0,1951,0,0,98006,675000.0,9
2.75,4,5,1.0,10,1960,1760,3720,2900,9450,8605,4,0,1962,0,0,98006,1370000.0,9
2.5,5,4,1.0,8,1390,1390,2780,1790,9652,9652,0,0,1967,0,0,98001,290000.0,9
2.75,4,3,1.0,7,1600,1310,2910,2220,7712,6649,0,0,1998,0,0,98002,292000.0,9
1.75,3,4,1.5,7,1640,0,1640,1670,18730,12154,0,0,1946,0,0,98004,775000.0,9
1.75,4,4,1.0,8,1680,830,2510,2510,8989,8931,0,0,1964,0,0,98006,595000.0,9
2.5,3,3,2.0,8,2360,0,2360,2480,12987,11665,0,0,1983,0,0,98006,750000.0,9
1.5,3,4,1.0,7,1170,0,1170,1570,4950,7700,0,0,1960,0,0,98007,330000.0,9
2.0,4,3,1.0,7,1420,1420,2840,2840,13367,12744,0,0,1952,0,0,98004,945000.0,9
3.5,4,3,2.0,8,2100,670,2770,2030,8763,7242,0,0,1996,0,0,98003,359000.0,9
1.75,3,4,1.0,7,1360,0,1360,1570,5445,7840,0,0,1957,0,0,98008,450000.0,9
2.5,4,4,1.0,8,1310,700,2010,1850,9075,9220,0,0,1959,0,0,98006,510000.0,9
2.5,5,5,1.0,8,1440,1440,2880,2010,9000,9000,0,0,1966,0,0,98006,560000.0,9
2.5,4,3,2.0,10,3380,0,3380,3710,75794,17913,0,0,1997,0,0,98001,639900.0,9
1.75,3,3,1.0,8,1490,0,1490,2350,11360,10320,0,0,1975,0,0,98008,490000.0,9
1.75,4,4,1.0,7,1460,750,2210,2640,19025,14999,0,0,1952,0,0,98004,950000.0,9
1.5,3,4,1.5,7,1910,0,1910,1770,10583,9068,0,0,1922,1967,1,98002,247200.0,9
1.5,3,4,2.0,6,1280,0,1280,1150,4031,4500,0,0,1985,0,0,98002,185000.0,9
2.25,4,4,1.0,7,1430,510,1940,1460,9144,9437,0,0,1956,0,0,98007,495000.0,9
2.5,4,3,2.0,8,2040,450,2490,2120,8750,10240,0,0,1976,0,0,98008,532500.0,9
2.5,4,3,2.0,9,2460,0,2460,2730,9296,9900,0,0,1978,0,0,98007,722500.0,9
2.5,3,3,1.0,7,1090,480,1570,1570,5113,5150,0,0,1996,0,0,98001,256000.0,9
1.5,3,4,1.0,8,1850,0,1850,3030,10572,12752,0,0,1953,0,0,98004,1375000.0,9
1.0,2,5,1.0,6,1300,0,1300,1470,44431,14850,0,0,1958,0,0,98001,175000.0,9
3.5,4,3,1.0,12,3340,1160,4500,2540,44384,26287,0,0,1990,0,0,98004,1980000.0,9
1.75,4,3,1.0,7,880,880,1760,1680,7300,7500,0,0,1956,0,0,98008,380000.0,9
2.5,4,3,2.0,8,3052,0,3052,2767,12145,8604,0,0,2004,0,0,98003,425000.0,9
4.0,4,3,2.0,11,3480,1210,4690,2800,6900,11240,0,0,2001,0,0,98004,1945000.0,9
2.5,4,2,1.0,8,1610,1000,2610,2250,7254,7407,0,0,1975,0,0,98006,547500.0,9
2.5,3,4,2.0,9,1740,0,1740,2540,13750,14300,0,0,1975,0,0,98008,645000.0,9
1.75,3,3,1.0,7,1250,0,1250,1570,9605,9605,0,0,1964,0,0,98008,458500.0,9
2.0,4,3,1.0,7,1170,890,2060,1890,6400,8736,0,0,1977,0,0,98002,257500.0,9
1.75,4,5,1.0,6,1790,0,1790,1550,12000,9840,0,0,1944,0,0,98001,199900.0,9
1.5,3,4,1.0,7,1520,0,1520,3260,9041,10020,0,0,1954,0,0,98004,810000.0,9
2.75,4,3,1.0,8,1680,700,2380,1950,15800,11751,0,0,1957,2001,1,98007,655500.0,9
2.75,4,3,2.0,7,2475,0,2475,2475,4276,4000,0,0,2014,0,0,98002,319900.0,9
2.25,4,3,2.0,10,2860,0,2860,2890,10702,10572,0,0,1982,0,0,98004,1200000.0,9
5.25,6,3,2.0,7,2860,0,2860,1390,5682,5956,0,0,1978,0,0,98002,300000.0,9
1.75,4,4,1.0,7,1130,300,1430,2070,10500,8640,0,0,1960,0,0,98007,412000.0,9
1.5,4,4,1.0,7,1100,0,1100,1380,11824,11796,0,0,1954,0,0,98006,320000.0,9
4.5,5,3,2.0,11,5130,0,5130,4670,43123,43560,0,0,1996,0,0,98006,1599950.0,9
4.25,6,3,2.0,10,4150,1710,5860,5790,13928,13928,3,0,2013,0,0,98006,1750000.0,9
2.5,4,4,1.0,8,1400,750,2150,2800,8536,9500,3,0,1967,0,0,98006,871000.0,9
2.75,5,3,2.0,8,2481,0,2481,2363,4045,4175,0,0,2014,0,0,98001,309000.0,9
3.0,4,4,1.0,9,1930,1790,3720,3160,14125,15300,0,0,1960,0,0,98005,875000.0,9
5.0,5,3,2.0,12,6720,1280,8000,4600,23985,21750,4,0,2009,0,0,98004,5350000.0,9
2.5,3,3,2.0,10,2910,0,2910,2910,17172,20048,0,0,1989,0,0,98003,450000.0,9
3.25,5,3,2.0,10,4430,1360,5790,5790,12739,13928,3,0,2014,0,0,98006,1750000.0,9
2.25,4,4,1.0,9,1660,1650,3310,3450,8540,9566,4,0,1973,0,0,98006,1100000.0,9
1.0,3,4,1.0,7,1230,0,1230,1240,6000,6000,0,0,1967,0,0,98002,229500.0,9
2.5,4,3,2.0,10,3390,0,3390,2830,10519,10519,2,0,1990,0,0,98003,583000.0,9
2.5,4,5,1.0,7,1740,1070,2810,1970,11560,11560,0,0,1962,0,0,98008,674000.0,9
3.25,6,3,2.0,10,3140,0,3140,2980,14923,10758,0,0,1991,0,0,98006,925850.0,9
2.5,4,4,1.5,9,2180,1270,3450,3770,17400,19530,0,0,1964,0,0,98004,1388000.0,9
2.5,3,3,2.0,9,2550,0,2550,3180,13458,13458,0,0,1990,0,0,98006,715000.0,9
1.75,4,4,1.0,7,1070,990,2060,1830,7900,8000,0,0,1957,0,0,98008,395000.0,9
2.75,4,4,1.0,8,1760,640,2400,2400,12469,10400,2,0,1958,0,0,98008,839000.0,9
2.25,4,4,1.0,7,1170,570,1740,1980,8449,11175,0,0,1958,0,0,98008,455000.0,9
2.5,3,3,2.0,9,2330,0,2330,2460,9160,9160,0,0,1997,0,0,98006,710000.0,9
1.0,3,4,1.0,7,1280,0,1280,1240,10000,10000,0,0,1954,0,0,98006,473000.0,9
2.5,4,3,2.0,8,2900,0,2900,2720,6918,10376,0,0,2001,0,0,98001,339000.0,9
1.75,3,4,1.0,8,1590,0,1590,1970,8285,8970,0,0,1956,0,0,98004,750000.0,9
3.5,5,3,1.0,10,2110,2110,4220,3450,26784,33945,0,0,1958,2006,1,98004,1635000.0,9
1.5,4,4,1.0,7,1170,950,2120,1790,8554,8554,0,0,1977,0,0,98002,249500.0,9
2.75,5,4,1.0,9,1520,1410,2930,3070,31411,12378,0,0,1975,0,0,98006,610000.0,9
2.5,3,4,1.0,9,1820,1340,3160,3390,12824,11985,2,0,1966,0,0,98004,1600000.0,9
1.75,3,3,1.0,7,1350,0,1350,1660,8548,8538,0,0,1985,0,0,98003,250000.0,9
3.25,3,3,1.0,11,2760,1800,4560,4060,13363,13362,4,0,1995,0,0,98004,3200000.0,9
3.25,5,4,1.0,10,3730,0,3730,4180,10626,19110,4,0,1963,0,0,98004,2535000.0,9
3.25,4,3,2.0,10,2180,890,3070,2500,10375,11194,0,0,1962,2005,1,98004,1495000.0,9
1.0,3,3,1.0,7,1300,0,1300,1360,8284,7848,0,0,1968,0,0,98003,169575.0,9
1.0,3,4,1.0,7,910,0,910,1530,7194,7200,0,0,1971,0,0,98001,182500.0,9
1.75,3,4,1.0,7,1060,630,1690,1580,7735,7503,0,0,1976,0,0,98001,197000.0,9
2.25,4,3,2.0,9,2910,0,2910,2780,10189,10125,0,0,1988,0,0,98006,998000.0,9
2.5,3,4,1.0,8,2100,0,2100,3070,15120,16078,0,0,1953,0,0,98004,1150000.0,9
1.0,3,3,1.0,7,1140,0,1140,1510,8180,8588,0,0,1959,0,0,98005,550000.0,9
2.75,4,3,1.0,7,1560,660,2220,2500,11925,11377,0,0,1953,1985,1,98004,825000.0,9
2.25,3,3,2.0,8,2510,0,2510,1870,12013,8017,0,0,1988,0,0,98003,225000.0,9
1.75,4,3,1.0,7,910,740,1650,1540,6900,7645,0,0,1978,1993,1,98002,238000.0,9
2.5,3,3,2.0,8,1730,0,1730,1780,8076,6930,0,0,1994,0,0,98003,297262.0,9
2.5,4,3,2.0,9,2780,0,2780,2750,6737,7950,0,0,2002,0,0,98006,739000.0,9
2.5,4,3,2.0,8,3181,0,3181,2056,5831,24393,0,0,2014,0,0,98003,379900.0,9
1.0,2,3,1.0,6,900,0,900,1767,13531,8308,0,0,1979,0,0,98001,174000.0,9
2.5,4,4,1.0,8,1560,880,2440,2260,9350,8500,0,0,1976,0,0,98006,610000.0,9
2.0,4,4,1.0,7,1950,0,1950,1920,9940,9270,0,0,1963,0,0,98008,565000.0,9
1.5,2,4,1.0,6,1140,0,1140,2020,7800,7800,0,0,1947,0,0,98004,903000.0,9
1.75,4,3,1.0,7,1920,0,1920,1580,9380,8580,0,0,1964,0,0,98008,480000.0,9
1.75,3,4,1.0,8,1220,920,2140,2250,13286,13286,0,0,1964,0,0,98006,577500.0,9
2.5,3,3,2.0,7,1340,0,1340,990,4200,4520,0,0,2002,0,0,98002,217000.0,9
1.0,3,4,1.0,7,1160,0,1160,1750,8800,8400,0,0,1959,0,0,98008,480000.0,9
2.75,4,3,2.0,9,3400,0,3400,3060,7081,7081,0,0,2001,0,0,98006,828200.0,9
1.0,3,5,1.5,6,1380,0,1380,860,7282,4826,0,0,1915,0,0,98002,189000.0,9
2.0,4,3,1.0,6,960,400,1360,1930,60548,28800,0,0,1960,0,0,98001,263400.0,9
1.75,4,3,1.0,8,1370,400,1770,2040,9848,9587,0,0,1967,0,0,98008,606150.0,9
2.25,2,4,2.0,8,1860,0,1860,1860,2670,2531,0,0,1986,0,0,98006,462370.0,9
1.0,2,3,1.0,6,1088,0,1088,1088,8453,8016,0,0,1952,2009,1,98001,238000.0,9
2.25,3,5,1.0,8,1510,700,2210,2470,22040,14258,0,0,1976,0,0,98004,635250.0,9
2.5,6,4,1.0,8,1590,1590,3180,2670,9375,9625,0,0,1967,0,0,98006,680000.0,9
1.75,3,4,1.0,7,1810,0,1810,1680,7950,7725,0,0,1968,0,0,98008,443000.0,9
2.5,4,3,1.0,8,1420,1380,2800,2140,10786,10788,0,0,1970,0,0,98008,605000.0,9
1.5,3,3,1.0,7,1100,0,1100,1570,33600,32700,0,0,1967,0,0,98001,215000.0,9
2.25,4,3,1.0,8,1320,430,1750,2170,10160,11165,0,0,1972,0,0,98005,542500.0,9
2.5,6,3,1.0,8,1630,1260,2890,2730,8122,9915,0,0,1977,0,0,98008,502000.0,9
1.75,3,4,1.0,8,1510,0,1510,2660,11120,10800,0,0,1984,0,0,98005,490000.0,9
2.5,4,3,2.0,8,2600,0,2600,2170,8572,5288,0,0,2003,0,0,98001,300000.0,9
1.75,3,4,1.0,7,1070,0,1070,1350,6110,6148,0,0,1968,0,0,98002,195000.0,9
1.0,3,4,1.0,7,1320,0,1320,1260,7000,7455,0,0,1967,0,0,98002,206000.0,9
5.0,5,3,2.0,10,3930,560,4490,2490,10279,10279,0,0,2013,0,0,98004,1800000.0,9
1.5,4,4,1.0,7,1560,0,1560,1560,6534,6969,0,0,1962,0,0,98007,430000.0,9
2.5,4,4,1.0,8,1600,770,2370,2050,9135,9468,0,0,1967,0,0,98006,600000.0,9
1.5,3,4,1.0,8,1510,0,1510,2110,11200,12070,0,0,1960,0,0,98003,340768.0,9
2.25,4,4,1.0,8,1810,1510,3320,2450,20100,9821,0,0,1981,0,0,98006,962000.0,9
3.25,4,3,2.0,11,4130,0,4130,3140,112521,26147,0,0,1978,0,0,98005,1900000.0,9
1.75,3,3,1.0,7,1400,0,1400,1810,9900,10796,0,0,1951,0,0,98004,850000.0,9
2.5,5,3,2.0,9,2870,0,2870,2870,4712,6768,0,0,2014,0,0,98006,760369.0,9
2.0,4,5,1.0,7,2070,0,2070,1300,9822,9572,0,0,1955,0,0,98006,550000.0,9
2.5,4,5,1.0,8,1670,760,2430,2140,14400,9048,0,0,1963,0,0,98007,645000.0,9
1.5,4,4,1.0,7,1490,730,2220,1800,9496,8286,0,0,1954,0,0,98004,921000.0,9
1.0,2,4,1.0,7,1180,0,1180,1420,10720,10750,0,0,1955,0,0,98007,450000.0,9
1.5,3,3,1.0,7,1800,0,1800,1610,10050,10050,0,0,1955,0,0,98008,583000.0,9
1.0,3,4,1.0,7,980,0,980,2100,10960,10960,0,0,1953,0,0,98005,550000.0,9
2.75,4,4,1.0,8,2130,780,2910,1970,9000,9000,0,0,1966,0,0,98006,539950.0,9
1.0,3,3,1.0,7,1310,0,1310,2150,18135,18135,0,0,1948,0,0,98008,553000.0,9
3.25,5,3,2.0,9,3120,900,4020,3550,4500,5775,0,0,2010,0,0,98004,1419000.0,9
2.0,2,4,1.0,7,1240,0,1240,1380,9119,9121,0,0,1952,0,0,98004,727500.0,9
2.25,2,4,2.0,9,1800,0,1800,1800,2748,2755,0,0,1979,0,0,98008,472000.0,9
2.75,3,4,2.0,9,1890,0,1890,1800,2614,2769,0,0,1979,0,0,98008,462000.0,9
2.25,4,3,1.0,8,1370,810,2180,2090,11056,8747,0,0,1963,0,0,98004,830000.0,9
